RK,TIERS,PLAYER NAME,TEAM,POS#,POS,BYE WEEK,SOS SEASON,ECR VS. ADP,AVG. POINTS ,% GAMES 
1,1,Christian McCaffrey,SF,RB1,RB,9,2,0,2.5,62% (10/16)
2,1,CeeDee Lamb,DAL,WR1,WR,7,3,1,3.8,50% (8/16)
3,1,Tyreek Hill,MIA,WR2,WR,6,2,-1,1.7,60% (9/15)
4,1,Ja'Marr Chase,CIN,WR3,WR,12,2,2,-0.8,33% (5/15)
5,1,Amon-Ra St. Brown,DET,WR4,WR,5,4,3,2,60% (9/15)
6,2,Breece Hall,NYJ,RB2,RB,12,2,-2,1.4,50% (8/16)
7,2,Justin Jefferson,MIN,WR5,WR,6,3,0,-0.5,55% (5/9)
8,2,Bijan Robinson,ATL,RB3,RB,12,4,-3,-2.5,37% (6/16)
9,2,A.J. Brown,PHI,WR6,WR,5,2,1,0.5,43% (7/16)
10,2,Garrett Wilson,NYJ,WR7,WR,12,4,2,-1.3,37% (6/16)
11,2,Jahmyr Gibbs,DET,RB4,RB,5,3,2,1.6,50% (7/14)
12,3,Puka Nacua,LAR,WR8,WR,6,3,2,2.9,62% (10/16)
13,3,Jonathan Taylor,IND,RB5,RB,14,2,-2,-0.1,44% (4/9)
14,3,Marvin Harrison Jr.,ARI,WR9,WR,11,3,2,-,-
15,3,Saquon Barkley,PHI,RB6,RB,5,4,-6,-0.9,38% (5/13)
16,3,Davante Adams,LV,WR10,WR,10,3,3,-0.8,37% (6/16)
17,3,Drake London,ATL,WR11,WR,12,4,8,0,40% (6/15)
18,3,Chris Olave,NO,WR12,WR,12,3,5,-0.3,53% (8/15)
19,3,Josh Allen,BUF,QB1,QB,12,1,3,2.1,62% (10/16)
20,4,Travis Etienne Jr.,JAC,RB7,RB,12,2,-2,0.7,56% (9/16)
21,4,Jaylen Waddle,MIA,WR13,WR,6,2,22,-0.6,35% (5/14)
22,4,Michael Pittman Jr.,IND,WR14,WR,14,4,13,1.3,60% (9/15)
23,4,Jalen Hurts,PHI,QB2,QB,5,2,9,0.6,68% (11/16)
24,4,Mike Evans,TB,WR15,WR,11,3,9,2.7,62% (10/16)
25,4,Cooper Kupp,LAR,WR16,WR,6,3,12,-1.8,41% (5/12)
26,4,Nico Collins,HOU,WR17,WR,14,3,3,2.6,50% (7/14)
27,4,Brandon Aiyuk,SF,WR18,WR,9,2,9,1.8,60% (9/15)
28,4,Sam LaPorta,DET,TE1,TE,5,3,-1,2.5,56% (9/16)
29,4,Kyren Williams,LAR,RB8,RB,6,3,-14,5.5,66% (8/12)
30,4,Patrick Mahomes II,KC,QB3,QB,6,3,-4,-3,18% (3/16)
31,4,Travis Kelce,KC,TE2,TE,6,3,-10,-2.2,26% (4/15)
32,4,Lamar Jackson,BAL,QB4,QB,14,4,7,0.3,50% (8/16)
33,4,Isiah Pacheco,KC,RB9,RB,6,3,-13,1.1,50% (7/14)
34,4,Deebo Samuel Sr.,SF,WR19,WR,9,2,-3,2,57% (8/14)
35,4,De'Von Achane,MIA,RB10,RB,6,3,-11,6.1,50% (5/10)
36,4,DJ Moore,CHI,WR20,WR,7,4,10,3,50% (8/16)
37,4,DeVonta Smith,PHI,WR21,WR,5,2,8,0.7,50% (8/16)
38,4,DK Metcalf,SEA,WR22,WR,10,3,3,0.9,46% (7/15)
39,5,Malik Nabers,NYG,WR23,WR,11,3,12,-,-
40,5,Derrick Henry,BAL,RB11,RB,14,3,-23,-0.5,56% (9/16)
41,5,Rachaad White,TB,RB12,RB,11,5,-7,1.2,62% (10/16)
42,5,Amari Cooper,CLE,WR24,WR,10,3,13,2.7,53% (8/15)
43,5,Alvin Kamara,NO,RB13,RB,12,5,-1,0.1,46% (6/13)
44,5,Stefon Diggs,HOU,WR25,WR,14,3,-4,-1.4,37% (6/16)
45,5,James Cook,BUF,RB14,RB,12,2,-15,0.9,50% (8/16)
46,5,Josh Jacobs,GB,RB15,RB,10,1,-18,-2.3,38% (5/13)
47,5,Anthony Richardson,IND,QB5,QB,14,5,5,-0.6,50% (2/4)
48,5,Trey McBride,ARI,TE3,TE,11,5,0,1.5,43% (7/16)
